source,destination
c31_compact\pipeline.py,source_prior_bank\pipeline.py
c32_selector\pipeline.py,anchor_safe_selector\pipeline.py
c33_locked\pipeline.py,main_evaluation\pipeline.py
cfg\main_cfg.py,configs\main_cfg.py
cfg\methods\c31_cfg.py,configs\methods\source_prior_bank_cfg.py
cfg\methods\c32_cfg.py,configs\methods\anchor_safe_selector_cfg.py
cfg\methods\c33_locked_cfg.py,configs\methods\main_evaluation_cfg.py
cfg\methods\final_e2e_c23_cfg.py,configs\methods\shared_evaluation_cfg.py
cfg\methods\final_paper_experiments_cfg.py,configs\methods\main_experiments_cfg.py
cfg\methods\final_paper_experiments_v2_cfg.py,configs\methods\robustness_experiments_cfg.py
cfg\methods\medet_cfg.py,configs\methods\medet_cfg.py
cfg\methods\meta_nas_lite_cfg.py,configs\methods\meta_nas_lite_cfg.py
cfg\methods\ours_ablation_cfg.py,configs\methods\ours_ablation_cfg.py
cfg\methods\ours_cfg.py,configs\methods\ours_cfg.py
cfg\methods\ours_v2_cfg.py,configs\methods\candidate_space_cfg.py
cfg\methods\pretrain_ft_cfg.py,configs\methods\pretrain_ft_cfg.py
cfg\methods\prior_response_profile_cfg.py,configs\methods\target_profile_cfg.py
cfg\methods\supplementary_evidence_cfg.py,configs\methods\supplementary_experiments_cfg.py
cfg\methods\zerocost_nas_cfg.py,configs\methods\zerocost_nas_cfg.py
core\__init__.py,core\__init__.py
core\config.py,core\config.py
core\data\center_api.py,core\data\center_api.py
core\data\sim.py,core\data\sim.py
core\data\v2_pools.py,core\data\v2_pools.py
core\methods\ours\adapt.py,core\methods\ours\adapt.py
core\methods\ours\c23_mode_selector.py,core\methods\ours\c23_mode_selector.py
core\methods\ours\c2_adapt.py,core\methods\ours\c2_adapt.py
core\methods\ours\condition.py,core\methods\ours\condition.py
core\methods\ours\paper_engine.py,core\methods\ours\paper_engine.py
core\methods\ours\paper_modules.py,core\methods\ours\paper_modules.py
core\methods\ours\prior_response_profile.py,core\methods\ours\prior_response_profile.py
core\methods\ours\source_prior.py,core\methods\ours\source_prior.py
core\methods\ours\stage2_runtime.py,core\methods\ours\stage2_runtime.py
core\methods\ours\stage2_v4_c23.py,core\methods\ours\stage2_v4_c23.py
core\methods\ours\weight_bank.py,core\methods\ours\weight_bank.py
core\space\__init__.py,core\space\__init__.py
core\space\enumerator.py,core\space\enumerator.py
core\space\models.py,core\space\models.py
core\space\profile.py,core\space\profile.py
core\space\types.py,core\space\types.py
core\utils\metrics.py,core\utils\metrics.py
core\utils\timer.py,core\utils\timer.py
final_e2e\data_access.py,shared\data_access.py
final_e2e_c23\common.py,shared\evaluation\common.py
final_paper_experiments\audit.py,experiments\main\audit.py
final_paper_experiments\pipeline.py,experiments\main\pipeline.py
final_paper_experiments\real_trace.py,experiments\main\real_trace.py
final_paper_experiments\reporting.py,experiments\main\reporting.py
final_paper_experiments_v2\audit.py,experiments\robustness\audit.py
final_paper_experiments_v2\pipeline.py,experiments\robustness\pipeline.py
final_paper_experiments_v2\reporting.py,experiments\robustness\reporting.py
jnca_paper_reporting\__init__.py,reporting\__init__.py
jnca_paper_reporting\reporting.py,reporting\reporting.py
supplementary_evidence\pipeline.py,experiments\supplementary\pipeline.py
tools\preflight_c31_compact.py,scripts\preflight_source_prior_bank.py
tools\build_c31_strong_bank.py,scripts\build_source_prior_bank.py
tools\run_c31_fresh_holdout.py,scripts\run_source_prior_holdout.py
tools\analyze_c31_compact.py,scripts\analyze_source_prior_bank.py
tools\audit_c31_compact.py,scripts\audit_source_prior_bank.py
tools\preflight_c32_selector.py,scripts\preflight_anchor_safe_selector.py
tools\run_c32_candidate_pool.py,scripts\run_selector_candidate_pool.py
tools\calibrate_c32_selector.py,scripts\calibrate_anchor_safe_selector.py
tools\analyze_c32_final.py,scripts\analyze_anchor_safe_selector.py
tools\audit_c32_selector.py,scripts\audit_anchor_safe_selector.py
tools\preflight_c33_locked.py,scripts\preflight_main_evaluation.py
tools\run_c33_locked_method.py,scripts\run_main_evaluation_method.py
tools\analyze_c33_locked.py,scripts\analyze_main_evaluation.py
tools\audit_c33_locked.py,scripts\audit_main_evaluation.py
tools\preflight_final_paper_experiments.py,scripts\preflight_main_experiments.py
tools\run_final_ablation.py,scripts\run_component_ablation.py
tools\run_final_seed_robustness.py,scripts\run_seed_reproducibility.py
tools\build_final_source_scale_banks.py,scripts\build_source_scale_banks.py
tools\run_final_source_scale_eval.py,scripts\run_source_scale_evaluation.py
tools\prepare_alibaba2018_real_trace.py,scripts\prepare_alibaba2018_trace.py
tools\run_alibaba2018_real_eval.py,scripts\run_alibaba2018_evaluation.py
tools\generate_final_paper_report.py,scripts\generate_main_report.py
tools\audit_final_paper_experiments.py,scripts\audit_main_experiments.py
tools\preflight_final_paper_experiments_v2.py,scripts\preflight_robustness_experiments.py
tools\build_controlled_source_scale_banks.py,scripts\build_controlled_source_scale_banks.py
tools\run_controlled_source_scale_eval.py,scripts\run_controlled_source_scale.py
tools\build_source_seed_banks.py,scripts\build_source_seed_banks.py
tools\run_source_seed_eval.py,scripts\run_source_seed_evaluation.py
tools\run_real_candidate_diagnostics.py,scripts\run_real_trace_diagnostics.py
tools\analyze_architecture_coverage.py,scripts\analyze_architecture_coverage.py
tools\generate_final_paper_v2_report.py,scripts\generate_robustness_report.py
tools\audit_final_paper_experiments_v2.py,scripts\audit_robustness_experiments.py
tools\preflight_supplementary_evidence.py,scripts\preflight_supplementary_experiments.py
tools\run_adaptation_trajectory.py,scripts\run_adaptation_trajectory.py
tools\analyze_anchor_risk.py,scripts\analyze_anchor_risk.py
tools\run_repeated_runtime.py,scripts\run_repeated_runtime.py
tools\run_optimizer_matched_control.py,scripts\run_optimizer_matched_control.py
tools\generate_supplementary_report.py,scripts\generate_supplementary_report.py
tools\audit_supplementary_evidence.py,scripts\audit_supplementary_experiments.py
tools\generate_jnca_paper_outputs.py,scripts\generate_paper_outputs.py
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_main_results.csv,results/main/overall_comparison.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_ablation.csv,results/main/component_ablation.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_baseline_fairness.csv,results/main/baseline_fairness.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_budget_robustness.csv,results/main/budget_robustness.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_center_type_robustness.csv,results/main/center_type_robustness.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_hk_robustness.csv,results/main/horizon_support_robustness.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_mechanism_cost.csv,results/main/mechanism_and_cost.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_resource_constraint_ablation.csv,results/main/resource_constraint_ablation.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_bank_size.csv,results/main/bank_size.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_oracle_diagnostics.csv,results/main/oracle_diagnostics.csv
results/main/outputs/final_paper_experiments_d2904_t2904/report/tables/table_real_trace.csv,results/main/alibaba_semi_real.csv
results/v2/outputs/final_paper_experiments_v2_d2904_t2904/report/tables/table_source_scale_controlled.csv,results/robustness/controlled_source_scale.csv
results/v2/outputs/final_paper_experiments_v2_d2904_t2904/report/tables/table_source_bank_seed_robustness.csv,results/robustness/source_bank_seed.csv
results/v2/outputs/final_paper_experiments_v2_d2904_t2904/report/tables/table_real_candidate_oracle_diagnostics.csv,results/robustness/alibaba_oracle_diagnostics.csv
results/v2/outputs/final_paper_experiments_v2_d2904_t2904/report/tables/table_architecture_coverage.csv,results/robustness/architecture_coverage.csv
results/supplementary/anchor_risk/full_vs_no_anchor_risk_summary.csv,results/supplementary/anchor_risk_summary.csv
results/supplementary/anchor_risk/full_vs_no_anchor_risk_cases.csv,results/supplementary/anchor_risk_cases.csv
results/supplementary/trajectory/trajectory_checkpoint_summary.csv,results/supplementary/adaptation_trajectory_summary.csv
results/supplementary/trajectory/trajectory_case_stability.csv,results/supplementary/adaptation_trajectory_case_stability.csv
results/supplementary/trajectory/trajectory_candidate_checkpoints.csv,results/supplementary/adaptation_trajectory_candidates.csv
results/supplementary/runtime/repeated_runtime_summary.csv,results/supplementary/repeated_runtime_summary.csv
results/supplementary/runtime/repeated_runtime_repeat_means.csv,results/supplementary/repeated_runtime_repeat_means.csv
results/supplementary/runtime/repeated_runtime_raw.csv,results/supplementary/repeated_runtime_raw.csv
results/supplementary/optimizer_control/optimizer_matched_control_summary.csv,results/supplementary/optimizer_matched_control_summary.csv
results/supplementary/optimizer_control/optimizer_matched_control_cases.csv,results/supplementary/optimizer_matched_control_cases.csv
results/paper_outputs/main/tables/csv/table1_experimental_configuration.csv,results/figure_data/table1_experimental_configuration.csv
results/paper_outputs/main/tables/csv/table2_baseline_fairness.csv,results/figure_data/table2_baseline_fairness.csv
results/paper_outputs/main/tables/csv/table3_overall_comparison.csv,results/figure_data/table3_overall_comparison.csv
results/paper_outputs/main/tables/csv/table4_component_ablation.csv,results/figure_data/table4_component_ablation.csv
results/paper_outputs/main/tables/csv/table5a_selection_mechanism.csv,results/figure_data/table5a_selection_mechanism.csv
results/paper_outputs/main/tables/csv/table5b_online_cost.csv,results/figure_data/table5b_online_cost.csv
results/paper_outputs/main/tables/csv/table6_generalization.csv,results/figure_data/table6_generalization.csv
results/paper_outputs/supplement/tables/csv/tableS1_robustness_details.csv,results/figure_data/tableS1_robustness_details.csv
results/paper_outputs/supplement/tables/csv/tableS2_controlled_source_scale.csv,results/figure_data/tableS2_controlled_source_scale.csv
results/paper_outputs/supplement/tables/csv/tableS3_source_bank_seed.csv,results/figure_data/tableS3_source_bank_seed.csv
results/paper_outputs/supplement/tables/csv/tableS4_bank_size.csv,results/figure_data/tableS4_bank_size.csv
results/paper_outputs/supplement/tables/csv/tableS5_oracle_diagnostics.csv,results/figure_data/tableS5_oracle_diagnostics.csv
results/paper_outputs/supplement/tables/csv/tableS6_alibaba_semi_real.csv,results/figure_data/tableS6_alibaba_semi_real.csv
results/paper_outputs/supplement/tables/csv/tableS7_architecture_coverage.csv,results/figure_data/tableS7_architecture_coverage.csv
results/paper_outputs/supplement/tables/csv/tableS8_safety_across_pools.csv,results/figure_data/tableS8_safety_across_pools.csv
results/main/outputs/c31_compact_d2904_t2904/strong_bank/c31_strong_bank_manifest.json,results/audited_provenance/source_prior_bank_manifest.json
results/main/outputs/c32_selector_d2904_t2904/selector/c32_selector_manifest.json,results/audited_provenance/anchor_safe_selector_manifest.json
results/main/outputs/c33_locked_eval_d2904_t2904/analysis/c33_locked_analysis.json,results/audited_provenance/main_evaluation_analysis.json
results/main/outputs/c33_locked_eval_d2904_t2904/audit/c33_audit.json,results/audited_provenance/main_evaluation_audit.json
results/main/outputs/final_paper_experiments_d2904_t2904/audit/final_exp_audit.json,results/audited_provenance/main_experiments_audit.json
results/v2/outputs/final_paper_experiments_v2_d2904_t2904/audit/v2_audit.json,results/audited_provenance/robustness_experiments_audit.json
