asset,purpose,release_filename,sha256,H,architecture_index,required
h1_a1,architecture-matched source initialization,strong_h1_a1.pt,0953c393d04cca7bea80b9bc3b4edfaaaeca330785c7e16a1052ad3868cb5988,1,1,yes
h1_a13,architecture-matched source initialization,strong_h1_a13.pt,291fe3b4d05a88613bac96653b8525a508b23f84ba250de8e708f4b3818bae60,1,13,yes
h1_a55,architecture-matched source initialization,strong_h1_a55.pt,ad00ee90288cfcaecd550d42979ae9693fa5fb94350482692755cee521449e1f,1,55,yes
h1_a56,architecture-matched source initialization,strong_h1_a56.pt,2a4d81b8669207180e496c3a09dd7f9e6b8bc6b41016a1927099077a1749d5de,1,56,yes
h1_a57,architecture-matched source initialization,strong_h1_a57.pt,9faaf152f58bb1be4261369914169868b024f4b5baf7ac621b92619ff25682b5,1,57,yes
h1_a6,architecture-matched source initialization,strong_h1_a6.pt,eb574956ef4f59ff82ba316ffd8dfedd580031f8d818243be77d1207608795ef,1,6,yes
h4_a1,architecture-matched source initialization,strong_h4_a1.pt,f373706272c7d9725c5bfc2676a1ee92db6a5a5fe0bd76306e649bfb86b0c202,4,1,yes
h4_a13,architecture-matched source initialization,strong_h4_a13.pt,9c77de3c4e912935295e545110e97819f65aac16cdd33f15f0cbec3172985682,4,13,yes
h4_a55,architecture-matched source initialization,strong_h4_a55.pt,931dd65ad50ca608b4ff0ead390e4c89cf8c654c01b96a7c7872dd378f6ed2c5,4,55,yes
h4_a56,architecture-matched source initialization,strong_h4_a56.pt,bfcc05eb521995f8b54fa84522155f1e08fe1754199777e6a7583701350c805c,4,56,yes
h4_a57,architecture-matched source initialization,strong_h4_a57.pt,de14f4fbaf86aeb68c774a2c1148ba890b7804c3a2f6acd2cd605ff32f7212ac,4,57,yes
h4_a6,architecture-matched source initialization,strong_h4_a6.pt,84aee633948e1186569662c7a87ac26677bc2874cc2e16f3a1eeebbcede5c91e,4,6,yes
legacy_c1_source_bank,historical baseline and reference initialization bundle,ours_weight_bank_source_pooled_c1_v1_src20.pt,bb3a655606af3b554a8f088bb1d2f3f8d9f190b0911a812fd3755d3de3216b9d,"1,4",multiple,yes
