case_key,center_id,H,K,budget_tier,selection_category,pt_ft_wmse,proposed_wmse,pt_ft_worst10,proposed_worst10
c980_h1_k10_bloose,980,1,10,loose,beneficial alternative,0.0016601579263806343,0.0006271048332564533,0.0060514118522405624,0.0026978852692991495
c980_h1_k20_bloose,980,1,20,loose,beneficial alternative,0.0010454281000420451,0.0006243708194233477,0.004386352840811014,0.0026960617396980524
c980_h4_k10_bloose,980,4,10,loose,beneficial alternative,0.0017278268933296204,0.0014753984287381172,0.00612100213766098,0.005138734821230173
c980_h4_k20_bloose,980,4,20,loose,beneficial alternative,0.001152484561316669,0.001030132407322526,0.004379818681627512,0.003922336734831333
c981_h1_k10_btight,981,1,10,tight,reference retained,0.01272870134562254,0.012728700414299965,0.045893892645835876,0.045893892645835876
c981_h1_k20_btight,981,1,20,tight,reference retained,0.007307352032512426,0.007307352963835001,0.030988112092018127,0.030988113954663277
c981_h4_k10_btight,981,4,10,tight,reference retained,0.01377869863063097,0.01377869863063097,0.041465505957603455,0.041465505957603455
c981_h4_k20_btight,981,4,20,tight,reference retained,0.01100858673453331,0.011008583940565586,0.034864019602537155,0.03486401215195656
c982_h1_k10_bmedium,982,1,10,medium,beneficial alternative,0.0027952492237091064,0.001664328039623797,0.01092510111629963,0.007063345983624458
c982_h1_k20_bmedium,982,1,20,medium,beneficial alternative,0.001971954945474863,0.0014629437355324626,0.0080574257299304,0.0072737582959234715
c982_h4_k10_bmedium,982,4,10,medium,reference retained,0.0022849123924970627,0.0022849119268357754,0.008081081323325634,0.008081079460680485
c982_h4_k20_bmedium,982,4,20,medium,reference retained,0.002241311362013221,0.0022413120605051517,0.007947361096739769,0.007947363890707493
c983_h1_k10_bmedium,983,1,10,medium,reference retained,0.007773791905492544,0.007773790042847395,0.025446325540542603,0.025446323677897453
c983_h1_k20_bmedium,983,1,20,medium,reference retained,0.004865740891546011,0.004865739028900862,0.018995705991983414,0.018995704129338264
c983_h4_k10_bmedium,983,4,10,medium,reference retained,0.0050750793889164925,0.0050750779919326305,0.01857892796397209,0.018578924238681793
c983_h4_k20_bmedium,983,4,20,medium,reference retained,0.0037290009204298258,0.0037289997562766075,0.01477015670388937,0.014770152047276497
c984_h1_k10_bmedium,984,1,10,medium,beneficial alternative,0.0009040174772962928,0.0007200592081062496,0.0038718630094081163,0.0031308347824960947
