case_key,center_id,H,K,budget_tier,token,arch_idx,step,support_mse,validation_wmse,check_wmse,check_mae,check_worst10,cumulative_adaptation_seconds
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,0,0.000947911583352834,0.004242260009050369,0.004398226737976074,0.05589060112833977,0.01497308723628521,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,1,0.000946349638979882,0.004235543310642242,0.004390958230942488,0.0558415986597538,0.0149513715878129,0.20106159999999917
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,5,0.0009403891745023429,0.0042122481390833855,0.004365650005638599,0.05567034333944321,0.01487521082162857,0.5016635999999988
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,10,0.0009333461639471352,0.004189196974039078,0.004340415820479393,0.05549992248415947,0.014798332937061787,0.8593040999999992
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,20,0.0009199157357215881,0.0041552041657269,0.004302753135561943,0.055242400616407394,0.014682333916425705,1.6351584999999993
c1080_h1_k10_bmedium,1080,1,10,medium,PT_A57,57,50,0.0008819561335258186,0.004088688176125288,0.004227399826049805,0.05473337322473526,0.014457338489592075,3.9110575999999835
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,0,0.00400558253750205,0.004474882036447525,0.004508046433329582,0.05397045984864235,0.019521208480000496,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,1,0.0026992883067578077,0.005292326677590609,0.005359864793717861,0.059558480978012085,0.02234041318297386,0.08719209999999933
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,5,0.0011443839175626636,0.008103352971374989,0.008235805667936802,0.07640722393989563,0.0305246002972126,0.4125690999999989
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,10,0.0009660596842877567,0.009497370570898056,0.009649760089814663,0.08368779718875885,0.034040916711091995,0.769137299999997
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,20,0.0009416154935024679,0.009969278238713741,0.010123658925294876,0.08604591339826584,0.0351647213101387,1.554406999999994
c1080_h1_k10_bmedium,1080,1,10,medium,C1_A57,57,50,0.0009021324221976101,0.010030288249254227,0.01017175242304802,0.08627897500991821,0.03527884557843208,3.8867574000000005
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,0,0.010276016779243946,0.007159199565649033,0.0077266148291528225,0.07427296787500381,0.026428811252117157,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,1,0.009885790757834911,0.007232727948576212,0.007825719192624092,0.07451211661100388,0.026934020221233368,0.05072489999999874
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,5,0.008477038703858852,0.007585905026644468,0.008277212269604206,0.07568176835775375,0.02904374524950981,0.06656479999999831
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,10,0.007008404936641455,0.008132322691380978,0.008937563747167587,0.07761932164430618,0.031733281910419464,0.08949829999999892
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,20,0.004841487389057875,0.009413212537765503,0.010415964759886265,0.08236653357744217,0.03696928545832634,0.1362628999999984
