case_key,center_id,H,K,budget_tier,selected_at_20,selected_at_50,changed_20_to_50,selection_transitions_20_50,unique_selected_tokens_20_50,rank_spearman_20_vs_50,selected_20_matches_50
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,PT_A57,True,1,PT_A57|STRONG_A6,0.7857142857142859,False
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,PT_A57,True,1,PT_A57|STRONG_A6,0.9642857142857145,False
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,0.9642857142857145,True
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,1.0,True
c1081_h1_k10_btight,1081,1,10,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1081_h1_k20_btight,1081,1,20,tight,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1081_h4_k10_btight,1081,4,10,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1081_h4_k20_btight,1081,4,20,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1082_h1_k10_btight,1082,1,10,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1082_h1_k20_btight,1082,1,20,tight,PT_A57,PT_A57,False,0,PT_A57,0.7999999999999999,True
c1082_h4_k10_btight,1082,4,10,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1082_h4_k20_btight,1082,4,20,tight,PT_A57,PT_A57,False,0,PT_A57,0.7999999999999999,True
c1083_h1_k10_btight,1083,1,10,tight,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1083_h1_k20_btight,1083,1,20,tight,PT_A57,STRONG_A56,True,1,PT_A57|STRONG_A56,0.7999999999999999,False
c1083_h4_k10_btight,1083,4,10,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1083_h4_k20_btight,1083,4,20,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1084_h1_k10_bloose,1084,1,10,loose,PT_A57,PT_A57,False,0,PT_A57,0.642857142857143,True
c1084_h1_k20_bloose,1084,1,20,loose,STRONG_A6,STRONG_A55,True,1,STRONG_A55|STRONG_A6,0.7500000000000002,False
c1084_h4_k10_bloose,1084,4,10,loose,STRONG_A55,PT_A57,True,1,PT_A57|STRONG_A55,0.8571428571428573,False
c1084_h4_k20_bloose,1084,4,20,loose,STRONG_A55,PT_A57,True,1,PT_A57|STRONG_A55,0.9642857142857145,False
c1085_h1_k10_bmedium,1085,1,10,medium,STRONG_A13,PT_A57,True,1,PT_A57|STRONG_A13,0.7857142857142859,False
c1085_h1_k20_bmedium,1085,1,20,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1085_h4_k10_bmedium,1085,4,10,medium,STRONG_A55,STRONG_A55,False,0,STRONG_A55,0.6785714285714287,True
c1085_h4_k20_bmedium,1085,4,20,medium,STRONG_A55,STRONG_A55,False,0,STRONG_A55,0.8928571428571429,True
c1086_h1_k10_bloose,1086,1,10,loose,STRONG_A6,STRONG_A56,True,1,STRONG_A56|STRONG_A6,0.9642857142857145,False
c1086_h1_k20_bloose,1086,1,20,loose,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1086_h4_k10_bloose,1086,4,10,loose,STRONG_A55,STRONG_A55,False,0,STRONG_A55,0.9642857142857145,True
c1086_h4_k20_bloose,1086,4,20,loose,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1087_h1_k10_btight,1087,1,10,tight,PT_A57,STRONG_A55,True,1,PT_A57|STRONG_A55,1.0,False
c1087_h1_k20_btight,1087,1,20,tight,PT_A57,PT_A57,False,0,PT_A57,0.39999999999999997,True
c1087_h4_k10_btight,1087,4,10,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1087_h4_k20_btight,1087,4,20,tight,PT_A57,PT_A57,False,0,PT_A57,0.7999999999999999,True
c1088_h1_k10_bmedium,1088,1,10,medium,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1088_h1_k20_bmedium,1088,1,20,medium,STRONG_A56,STRONG_A56,False,0,STRONG_A56,0.9642857142857145,True
c1088_h4_k10_bmedium,1088,4,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.8571428571428573,True
c1088_h4_k20_bmedium,1088,4,20,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1089_h1_k10_bmedium,1089,1,10,medium,PT_A57,STRONG_A6,True,1,PT_A57|STRONG_A6,0.8928571428571429,False
c1089_h1_k20_bmedium,1089,1,20,medium,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1089_h4_k10_bmedium,1089,4,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1089_h4_k20_bmedium,1089,4,20,medium,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1090_h1_k10_btight,1090,1,10,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1090_h1_k20_btight,1090,1,20,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1090_h4_k10_btight,1090,4,10,tight,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1090_h4_k20_btight,1090,4,20,tight,STRONG_A55,PT_A57,True,1,PT_A57|STRONG_A55,1.0,False
c1091_h1_k10_bloose,1091,1,10,loose,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1091_h1_k20_bloose,1091,1,20,loose,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1091_h4_k10_bloose,1091,4,10,loose,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1091_h4_k20_bloose,1091,4,20,loose,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1092_h1_k10_bmedium,1092,1,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1092_h1_k20_bmedium,1092,1,20,medium,PT_A57,STRONG_A55,True,1,PT_A57|STRONG_A55,0.8571428571428573,False
c1092_h4_k10_bmedium,1092,4,10,medium,STRONG_A55,PT_A57,True,2,PT_A57|STRONG_A55|STRONG_A6,0.9642857142857145,False
c1092_h4_k20_bmedium,1092,4,20,medium,STRONG_A55,STRONG_A55,False,0,STRONG_A55,1.0,True
c1093_h1_k10_btight,1093,1,10,tight,PT_A57,PT_A57,False,0,PT_A57,0.39999999999999997,True
c1093_h1_k20_btight,1093,1,20,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1093_h4_k10_btight,1093,4,10,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1093_h4_k20_btight,1093,4,20,tight,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1094_h1_k10_bmedium,1094,1,10,medium,C1_A57,C1_A57,False,0,C1_A57,0.6785714285714287,True
c1094_h1_k20_bmedium,1094,1,20,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,0.642857142857143,True
c1094_h4_k10_bmedium,1094,4,10,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,0.7857142857142859,True
c1094_h4_k20_bmedium,1094,4,20,medium,STRONG_A55,STRONG_A6,True,2,PT_A57|STRONG_A55|STRONG_A6,0.6785714285714287,False
c1095_h1_k10_bmedium,1095,1,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.9642857142857145,True
c1095_h1_k20_bmedium,1095,1,20,medium,PT_A57,PT_A57,False,0,PT_A57,0.9285714285714288,True
c1095_h4_k10_bmedium,1095,4,10,medium,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1095_h4_k20_bmedium,1095,4,20,medium,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1096_h1_k10_btight,1096,1,10,tight,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1096_h1_k20_btight,1096,1,20,tight,STRONG_A56,STRONG_A56,False,0,STRONG_A56,1.0,True
c1096_h4_k10_btight,1096,4,10,tight,PT_A57,PT_A57,False,2,PT_A57|STRONG_A55,1.0,True
c1096_h4_k20_btight,1096,4,20,tight,PT_A57,STRONG_A55,True,1,PT_A57|STRONG_A55,1.0,False
c1097_h1_k10_bmedium,1097,1,10,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,1.0,True
c1097_h1_k20_bmedium,1097,1,20,medium,STRONG_A6,STRONG_A6,False,0,STRONG_A6,0.9642857142857145,True
c1097_h4_k10_bmedium,1097,4,10,medium,STRONG_A55,STRONG_A6,True,1,STRONG_A55|STRONG_A6,0.9642857142857145,False
c1097_h4_k20_bmedium,1097,4,20,medium,STRONG_A55,STRONG_A55,False,0,STRONG_A55,0.9642857142857145,True
c1098_h1_k10_bloose,1098,1,10,loose,STRONG_A56,STRONG_A6,True,1,STRONG_A56|STRONG_A6,0.8214285714285715,False
c1098_h1_k20_bloose,1098,1,20,loose,STRONG_A55,STRONG_A6,True,1,STRONG_A55|STRONG_A6,0.9285714285714288,False
c1098_h4_k10_bloose,1098,4,10,loose,PT_A57,PT_A57,False,0,PT_A57,0.8214285714285715,True
c1098_h4_k20_bloose,1098,4,20,loose,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1099_h1_k10_bmedium,1099,1,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1099_h1_k20_bmedium,1099,1,20,medium,PT_A57,PT_A57,False,0,PT_A57,1.0,True
c1099_h4_k10_bmedium,1099,4,10,medium,PT_A57,PT_A57,False,0,PT_A57,0.8928571428571429,True
c1099_h4_k20_bmedium,1099,4,20,medium,PT_A57,PT_A57,False,0,PT_A57,1.0,True
