case_key,center_id,H,K,budget_tier,anchor_test_wmse,full_selected_token,full_selected_test_wmse,full_switched,full_beneficial_switch,full_harmful_switch,full_switch_regret,no_anchor_selected_token,no_anchor_selected_test_wmse,no_anchor_switched,no_anchor_beneficial_switch,no_anchor_harmful_switch,no_anchor_switch_regret,no_anchor_additional_switch
c1000_h1_k10_bmedium,1000,1,10,medium,0.0037738580722361803,PT_A57,0.0037738580722361803,False,False,False,0.0,PT_A57,0.0037738580722361803,False,False,False,0.0,False
c1000_h1_k20_bmedium,1000,1,20,medium,0.0039103287272155285,PT_A57,0.0039103287272155285,False,False,False,0.0,PT_A57,0.0039103287272155285,False,False,False,0.0,False
c1000_h4_k10_bmedium,1000,4,10,medium,0.004831376951187849,PT_A57,0.004831376951187849,False,False,False,0.0,STRONG_A6,0.00481768324971199,True,True,False,-0.0028343268619637737,True
c1000_h4_k20_bmedium,1000,4,20,medium,0.005342940334230661,PT_A57,0.005342940334230661,False,False,False,0.0,PT_A57,0.005342940334230661,False,False,False,0.0,False
c1001_h1_k10_bmedium,1001,1,10,medium,0.0008448708103969693,PT_A57,0.0008448708103969693,False,False,False,0.0,STRONG_A6,0.0007962134550325572,True,True,False,-0.05759147399583914,True
c1001_h1_k20_bmedium,1001,1,20,medium,0.0008607617928646505,STRONG_A6,0.0007658643298782408,True,True,False,-0.11024822856081797,STRONG_A6,0.0007658643298782408,True,True,False,-0.11024822856081797,False
c1001_h4_k10_bmedium,1001,4,10,medium,0.0011399878421798348,STRONG_A55,0.0010559902293607593,True,True,False,-0.07368290225339257,STRONG_A55,0.0010559902293607593,True,True,False,-0.07368290225339257,False
c1001_h4_k20_bmedium,1001,4,20,medium,0.0011756154708564281,STRONG_A55,0.0010504896054044366,True,True,False,-0.10643434732481348,STRONG_A55,0.0010504896054044366,True,True,False,-0.10643434732481348,False
c1002_h1_k10_bloose,1002,1,10,loose,0.0032822214998304844,STRONG_A56,0.0031014257110655308,True,True,False,-0.05508336007158802,STRONG_A56,0.0031014257110655308,True,True,False,-0.05508336007158802,False
c1002_h1_k20_bloose,1002,1,20,loose,0.003326582256704569,STRONG_A56,0.003072385909035802,True,True,False,-0.07641366663338404,STRONG_A56,0.003072385909035802,True,True,False,-0.07641366663338404,False
