complete,repeat,case_number,case_key,center_id,center_type,budget_tier,H,K,online_seconds,candidate_count,adapted_candidate_count,selected_arch_idx,target_seed,cuda_synchronized_before_and_after,selection_uses_check,selection_uses_test,test_evaluation_timed,performance_verification
True,1,1,c980_h1_k10_bloose,980,A,loose,1,10,33.76551050005946,12,12,30,992291,True,False,False,False,"{'selected_arch_idx': 30, 'selected_state_sha256': 'db4bfd3a4d8e44b6a067c38483a3383b350f2b56ee132c830e2300abc38fb44a', 'validation': {'weighted_mse': 0.0030615217983722687, 'mae': 0.04507574811577797, 'worst10': 0.01253217738121748}, 'check': {'weighted_mse': 0.0033360086381435394, 'mae': 0.04728008434176445, 'worst10': 0.013575254008173943}, 'test': {'weighted_mse': 0.002963755512610078, 'mae': 0.042932119220495224, 'worst10': 0.013358625583350658}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,2,c980_h1_k20_bloose,980,A,loose,1,20,23.962141399970278,12,12,23,992821,True,False,False,False,"{'selected_arch_idx': 23, 'selected_state_sha256': '634e4c787b420ed5a596296c79a6f79c8f45f0d719200eb786d2ddd1cb8db64e', 'validation': {'weighted_mse': 0.0038291628006845713, 'mae': 0.04990711063146591, 'worst10': 0.01572558470070362}, 'check': {'weighted_mse': 0.004340082406997681, 'mae': 0.05364573374390602, 'worst10': 0.01746532693505287}, 'test': {'weighted_mse': 0.0034944869112223387, 'mae': 0.047907426953315735, 'worst10': 0.014578094705939293}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,3,c980_h4_k10_bloose,980,A,loose,4,10,46.8952222999651,12,12,2,992402,True,False,False,False,"{'selected_arch_idx': 2, 'selected_state_sha256': 'e6f82b80de86579170123c65e83e6d4bd20f25db008c0f7808e906f6c1863801', 'validation': {'weighted_mse': 0.004976664669811726, 'mae': 0.058512717485427856, 'worst10': 0.016165805980563164}, 'check': {'weighted_mse': 0.005880947224795818, 'mae': 0.06391147524118423, 'worst10': 0.01824036054313183}, 'test': {'weighted_mse': 0.004766291473060846, 'mae': 0.05693446844816208, 'worst10': 0.016269374638795853}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,4,c980_h4_k20_bloose,980,A,loose,4,20,46.83148309995886,12,12,8,992932,True,False,False,False,"{'selected_arch_idx': 8, 'selected_state_sha256': '3ac06bde46298d0bf99a6874937122b8a566407b07695820f22c1f2b8c3959b7', 'validation': {'weighted_mse': 0.006747014820575714, 'mae': 0.06934544444084167, 'worst10': 0.01995495706796646}, 'check': {'weighted_mse': 0.00792058277875185, 'mae': 0.07586386054754257, 'worst10': 0.02241688407957554}, 'test': {'weighted_mse': 0.006510906852781773, 'mae': 0.06794825941324234, 'worst10': 0.020749656483530998}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,5,c981_h1_k10_btight,981,C,tight,1,10,32.84892240003683,12,12,25,993300,True,False,False,False,"{'selected_arch_idx': 25, 'selected_state_sha256': '66f4d64bdb53a2130caf6dbb1c7042d6f60211cead7f2de44955011376c5d56c', 'validation': {'weighted_mse': 0.03366848826408386, 'mae': 0.15390951931476593, 'worst10': 0.12537066638469696}, 'check': {'weighted_mse': 0.04317713528871536, 'mae': 0.18411913514137268, 'worst10': 0.12593531608581543}, 'test': {'weighted_mse': 0.039981693029403687, 'mae': 0.17479217052459717, 'worst10': 0.1256851851940155}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,6,c981_h1_k20_btight,981,C,tight,1,20,70.2025720999809,12,12,33,993830,True,False,False,False,"{'selected_arch_idx': 33, 'selected_state_sha256': 'fdec9358f9dd50ddb26e67269cece2742867ca96cf6cfa4d9a1467b367d739d1', 'validation': {'weighted_mse': 0.022030571475625038, 'mae': 0.12321698665618896, 'worst10': 0.0843513160943985}, 'check': {'weighted_mse': 0.031297266483306885, 'mae': 0.15521474182605743, 'worst10': 0.09483948349952698}, 'test': {'weighted_mse': 0.031317707151174545, 'mae': 0.15506963431835175, 'worst10': 0.09974449872970581}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,7,c981_h4_k10_btight,981,C,tight,4,10,46.31566169997677,12,12,46,993411,True,False,False,False,"{'selected_arch_idx': 46, 'selected_state_sha256': 'ac0e3243eb7b1d38514ffaa372fb3abf3a09af331965a0744883e2440a5e0fb8', 'validation': {'weighted_mse': 0.0404595285654068, 'mae': 0.17020998895168304, 'worst10': 0.11911284923553467}, 'check': {'weighted_mse': 0.04854460433125496, 'mae': 0.19307509064674377, 'worst10': 0.11403661966323853}, 'test': {'weighted_mse': 0.04761078581213951, 'mae': 0.1896210014820099, 'worst10': 0.1217796579003334}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,8,c981_h4_k20_btight,981,C,tight,4,20,57.803256900049746,12,12,46,993941,True,False,False,False,"{'selected_arch_idx': 46, 'selected_state_sha256': 'ac44bc33eb1d0ebb48256c402d2c6e13c5634dc107c86716038f6675e766d245', 'validation': {'weighted_mse': 0.02647838555276394, 'mae': 0.13195832073688507, 'worst10': 0.0908881351351738}, 'check': {'weighted_mse': 0.029587354511022568, 'mae': 0.14416037499904633, 'worst10': 0.08079326897859573}, 'test': {'weighted_mse': 0.029276050627231598, 'mae': 0.14239837229251862, 'worst10': 0.08647306263446808}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,9,c982_h1_k10_bmedium,982,B,medium,1,10,69.46337350003887,12,12,46,994309,True,False,False,False,"{'selected_arch_idx': 46, 'selected_state_sha256': '8fb4d4805ad7d3f0aaec502337be06ed0e013efddfc1efa41302fecaea9a4e87', 'validation': {'weighted_mse': 0.014746961183845997, 'mae': 0.09739760309457779, 'worst10': 0.05891917645931244}, 'check': {'weighted_mse': 0.014114808291196823, 'mae': 0.09749925136566162, 'worst10': 0.053237102925777435}, 'test': {'weighted_mse': 0.013757781125605106, 'mae': 0.09676659852266312, 'worst10': 0.05003468319773674}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
True,1,10,c982_h1_k20_bmedium,982,B,medium,1,20,68.68223759997636,12,12,58,994839,True,False,False,False,"{'selected_arch_idx': 58, 'selected_state_sha256': '717f0f88fcbb981488808cf7928abf06a9a9e27a230d8a99b958e998f604bbaa', 'validation': {'weighted_mse': 0.011045614257454872, 'mae': 0.08463511615991592, 'worst10': 0.04638265073299408}, 'check': {'weighted_mse': 0.010165000334382057, 'mae': 0.0822545513510704, 'worst10': 0.039516862481832504}, 'test': {'weighted_mse': 0.009586990810930729, 'mae': 0.08054046332836151, 'worst10': 0.03736167028546333}, 'selected_arch_matches_frozen': True, 'candidate_order_matches_frozen': True, 'validation_matches_frozen': True, 'check_matches_frozen': True, 'test_matches_frozen': True, 'test_opened_after_timing_and_selection': True}"
