method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
ours_compact_anchor_safe,c1100_h1_k10_btight,1100,1,10,tight,0.004461362026631832,0.052137698978185654,0.021245291456580162
ours_compact_anchor_safe,c1100_h1_k20_btight,1100,1,20,tight,0.004487024154514074,0.05248228460550308,0.021389909088611603
ours_compact_anchor_safe,c1100_h4_k10_btight,1100,4,10,tight,0.005976047832518816,0.059249792248010635,0.0250801220536232
ours_compact_anchor_safe,c1100_h4_k20_btight,1100,4,20,tight,0.005833878647536039,0.05859345570206642,0.024445079267024994
ours_compact_anchor_safe,c1101_h1_k10_bmedium,1101,1,10,medium,0.0008434836636297405,0.02347538247704506,0.0035397508181631565
ours_compact_anchor_safe,c1101_h1_k20_bmedium,1101,1,20,medium,0.0008850976591929793,0.023963849991559982,0.003721719142049551
ours_compact_anchor_safe,c1101_h4_k10_bmedium,1101,4,10,medium,0.0013207930605858564,0.029121307656168938,0.00472685182467103
ours_compact_anchor_safe,c1101_h4_k20_bmedium,1101,4,20,medium,0.0013170635793358088,0.029091397300362587,0.004658989142626524
ours_compact_anchor_safe,c1102_h1_k10_btight,1102,1,10,tight,0.005925693549215794,0.06344816088676453,0.022576283663511276
ours_compact_anchor_safe,c1102_h1_k20_btight,1102,1,20,tight,0.004005592782050371,0.05114182084798813,0.017086077481508255
ours_compact_anchor_safe,c1102_h4_k10_btight,1102,4,10,tight,0.004139820113778114,0.05038383975625038,0.01820710115134716
ours_compact_anchor_safe,c1102_h4_k20_btight,1102,4,20,tight,0.0025765507016330957,0.03893906623125076,0.012514375150203705
ours_compact_anchor_safe,c1103_h1_k10_bmedium,1103,1,10,medium,0.0011332870926707983,0.026792097836732864,0.005096676293760538
ours_compact_anchor_safe,c1103_h1_k20_bmedium,1103,1,20,medium,0.0009725696290843189,0.02469848282635212,0.004544781520962715
ours_compact_anchor_safe,c1103_h4_k10_bmedium,1103,4,10,medium,0.001431647571735084,0.029371438547968864,0.006423926912248135
ours_compact_anchor_safe,c1103_h4_k20_bmedium,1103,4,20,medium,0.00135540752671659,0.028701800853013992,0.006157756317406893
ours_compact_anchor_safe,c1104_h1_k10_bloose,1104,1,10,loose,0.0010152104077860713,0.02473318949341774,0.004780895542353392
ours_compact_anchor_safe,c1104_h1_k20_bloose,1104,1,20,loose,0.0011257596779614687,0.02607548236846924,0.0052657839842140675
ours_compact_anchor_safe,c1104_h4_k10_bloose,1104,4,10,loose,0.0013537604827433825,0.029071254655718803,0.0055282083339989185
ours_compact_anchor_safe,c1104_h4_k20_bloose,1104,4,20,loose,0.00155691581312567,0.031266506761312485,0.0062044053338468075
ours_compact_anchor_safe,c1105_h1_k10_btight,1105,1,10,tight,0.003399753477424383,0.04750659689307213,0.013034909963607788
