complete,repeat,method,case_key,center_id,center_type,budget_tier,H,K,online_seconds,candidate_count,adapted_candidate_count,selected_arch_idx,target_seed,cuda_synchronized,test_used,check_used
True,1,medet_style,c980_h1_k10_bloose,980,A,loose,1,10,0.21487969999998313,1,1,57,992291,True,False,False
True,1,medet_style,c980_h1_k20_bloose,980,A,loose,1,20,0.19785819999992782,1,1,57,992821,True,False,False
True,1,medet_style,c980_h4_k10_bloose,980,A,loose,4,10,0.20895010000003822,1,1,57,992402,True,False,False
True,1,medet_style,c980_h4_k20_bloose,980,A,loose,4,20,0.21807430000001204,1,1,57,992932,True,False,False
True,1,medet_style,c981_h1_k10_btight,981,C,tight,1,10,0.20490449999999782,1,1,57,993300,True,False,False
True,1,medet_style,c981_h1_k20_btight,981,C,tight,1,20,0.2085685999999214,1,1,57,993830,True,False,False
True,1,medet_style,c981_h4_k10_btight,981,C,tight,4,10,0.20871820000002117,1,1,57,993411,True,False,False
True,1,medet_style,c981_h4_k20_btight,981,C,tight,4,20,0.22044340000002194,1,1,57,993941,True,False,False
True,1,medet_style,c982_h1_k10_bmedium,982,B,medium,1,10,0.21625910000000204,1,1,57,994309,True,False,False
True,1,medet_style,c982_h1_k20_bmedium,982,B,medium,1,20,0.21979770000007193,1,1,57,994839,True,False,False
True,1,medet_style,c982_h4_k10_bmedium,982,B,medium,4,10,0.19964730000003783,1,1,57,994420,True,False,False
True,1,medet_style,c982_h4_k20_bmedium,982,B,medium,4,20,0.19751429999996617,1,1,57,994950,True,False,False
True,1,medet_style,c983_h1_k10_bmedium,983,B,medium,1,10,0.20882970000002388,1,1,57,995318,True,False,False
True,1,medet_style,c983_h1_k20_bmedium,983,B,medium,1,20,0.21897250000006352,1,1,57,995848,True,False,False
True,1,medet_style,c983_h4_k10_bmedium,983,B,medium,4,10,0.21455990000004022,1,1,57,995429,True,False,False
True,1,medet_style,c983_h4_k20_bmedium,983,B,medium,4,20,0.21631219999994755,1,1,57,995959,True,False,False
True,1,medet_style,c984_h1_k10_bmedium,984,A,medium,1,10,0.21675229999993917,1,1,57,996327,True,False,False
True,1,medet_style,c984_h1_k20_bmedium,984,A,medium,1,20,0.2144716000000244,1,1,57,996857,True,False,False
True,1,medet_style,c984_h4_k10_bmedium,984,A,medium,4,10,0.21311200000002373,1,1,57,996438,True,False,False
True,1,medet_style,c984_h4_k20_bmedium,984,A,medium,4,20,0.21529750000001968,1,1,57,996968,True,False,False
True,1,medet_style,c985_h1_k10_btight,985,B,tight,1,10,0.21563639999999396,1,1,57,997336,True,False,False
True,1,medet_style,c985_h1_k20_btight,985,B,tight,1,20,0.21021510000002763,1,1,57,997866,True,False,False
True,1,medet_style,c985_h4_k10_btight,985,B,tight,4,10,0.2102385000000595,1,1,57,997447,True,False,False
True,1,medet_style,c985_h4_k20_btight,985,B,tight,4,20,0.2192450000000008,1,1,57,997977,True,False,False
True,1,medet_style,c986_h1_k10_bmedium,986,A,medium,1,10,0.20483229999990726,1,1,57,998345,True,False,False
True,1,medet_style,c986_h1_k20_bmedium,986,A,medium,1,20,0.19234430000005887,1,1,57,998875,True,False,False
True,1,medet_style,c986_h4_k10_bmedium,986,A,medium,4,10,0.2094705999999178,1,1,57,998456,True,False,False
True,1,medet_style,c986_h4_k20_bmedium,986,A,medium,4,20,0.21820590000004358,1,1,57,998986,True,False,False
True,1,medet_style,c987_h1_k10_bmedium,987,C,medium,1,10,0.19139180000001943,1,1,57,999354,True,False,False
True,1,medet_style,c987_h1_k20_bmedium,987,C,medium,1,20,0.193593299999975,1,1,57,999884,True,False,False
True,1,medet_style,c987_h4_k10_bmedium,987,C,medium,4,10,0.19452020000005632,1,1,57,999465,True,False,False
True,1,medet_style,c987_h4_k20_bmedium,987,C,medium,4,20,0.22271749999993062,1,1,57,999995,True,False,False
True,1,medet_style,c988_h1_k10_bloose,988,C,loose,1,10,0.1990186000000449,1,1,57,1000363,True,False,False
True,1,medet_style,c988_h1_k20_bloose,988,C,loose,1,20,0.20382890000007592,1,1,57,1000893,True,False,False
True,1,medet_style,c988_h4_k10_bloose,988,C,loose,4,10,0.21057700000005752,1,1,57,1000474,True,False,False
True,1,medet_style,c988_h4_k20_bloose,988,C,loose,4,20,0.20620359999998072,1,1,57,1001004,True,False,False
True,1,medet_style,c989_h1_k10_bmedium,989,B,medium,1,10,0.19303209999998217,1,1,57,1001372,True,False,False
True,1,medet_style,c989_h1_k20_bmedium,989,B,medium,1,20,0.21366649999993115,1,1,57,1001902,True,False,False
True,1,medet_style,c989_h4_k10_bmedium,989,B,medium,4,10,0.21454460000006748,1,1,57,1001483,True,False,False
True,1,medet_style,c989_h4_k20_bmedium,989,B,medium,4,20,0.18967969999994239,1,1,57,1002013,True,False,False
True,1,medet_style,c990_h1_k10_bmedium,990,A,medium,1,10,0.20161580000001322,1,1,57,1002381,True,False,False
True,1,medet_style,c990_h1_k20_bmedium,990,A,medium,1,20,0.19977059999996527,1,1,57,1002911,True,False,False
True,1,medet_style,c990_h4_k10_bmedium,990,A,medium,4,10,0.182478500000002,1,1,57,1002492,True,False,False
True,1,medet_style,c990_h4_k20_bmedium,990,A,medium,4,20,0.18972629999996116,1,1,57,1003022,True,False,False
True,1,medet_style,c991_h1_k10_bmedium,991,B,medium,1,10,0.19219959999998082,1,1,57,1003390,True,False,False
True,1,medet_style,c991_h1_k20_bmedium,991,B,medium,1,20,0.19623319999993782,1,1,57,1003920,True,False,False
True,1,medet_style,c991_h4_k10_bmedium,991,B,medium,4,10,0.20187880000003133,1,1,57,1003501,True,False,False
True,1,medet_style,c991_h4_k20_bmedium,991,B,medium,4,20,0.20993970000006357,1,1,57,1004031,True,False,False
True,1,medet_style,c992_h1_k10_bmedium,992,B,medium,1,10,0.20972429999994802,1,1,57,1004399,True,False,False
True,1,medet_style,c992_h1_k20_bmedium,992,B,medium,1,20,0.19882099999995262,1,1,57,1004929,True,False,False
True,1,medet_style,c992_h4_k10_bmedium,992,B,medium,4,10,0.1929073999999673,1,1,57,1004510,True,False,False
True,1,medet_style,c992_h4_k20_bmedium,992,B,medium,4,20,0.20933279999997012,1,1,57,1005040,True,False,False
True,1,medet_style,c993_h1_k10_bmedium,993,B,medium,1,10,0.19840839999994841,1,1,57,1005408,True,False,False
True,1,medet_style,c993_h1_k20_bmedium,993,B,medium,1,20,0.20781800000008843,1,1,57,1005938,True,False,False
True,1,medet_style,c993_h4_k10_bmedium,993,B,medium,4,10,0.20296700000005785,1,1,57,1005519,True,False,False
